molecule_id,canonical_smiles,inchikey,scaffold,pActivity,n_records,activity_ids,document_id,document_year,qc_flags,excluded,exclusion_reason
CHEMBL3617741,CC1(C)N=C(c2ccc(-c3ccc4[nH]ccc4c3)cc2)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,YUWNTCLBUZQGFQ-GOSISDBHSA-N,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4[nH]ccc4c3)cc2)C1,7.319664486585437,1,26833957,CHEMBL5725564,2017,,False,
CHEMBL3617742,CC1(C)N=C(c2ccc(-c3ccc4cccnc4c3)cc2)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,YIALDVKIZRKENL-LJQANCHMSA-N,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4cccnc4c3)cc2)C1,7.250263684430939,1,26834023,CHEMBL5725564,2017,,False,
CHEMBL3617743,CC1(C)N=C(c2ccc(-c3ccc4cccc(F)c4c3)cc2)N(CC2CN(C(=O)C3CC3)C2)C1=O,JBJNFIPNVKPXEA-UHFFFAOYSA-N,O=C(C1CC1)N1CC(CN2C(=O)CN=C2c2ccc(-c3ccc4ccccc4c3)cc2)C1,6.749579997691106,1,26834074,CHEMBL5725564,2017,,False,
CHEMBL3617744,Cn1ncc2cc(-c3ccc(C4=NC(C)(C)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)c(F)c3)ccc21,HUYQXQKANYTHPW-QGZVFWFLSA-N,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,7.0301183562535,1,26834113,CHEMBL5725564,2017,,False,
CHEMBL3617745,CC1(C)N=C(c2ccc(-c3nc4ccccc4[nH]3)cc2)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,HNKOYAPWTRZUNN-QGZVFWFLSA-N,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3nc4ccccc4[nH]3)cc2)C1,5.230032198670558,1,26834167,CHEMBL5725564,2017,,False,
CHEMBL3617746,Cn1cc(-c2ccc(-c3ccc(C4=NC(C)(C)C(=O)N4C[C@@H]4CCN(C(=O)C5(O)CC5)C4)c(F)c3)cc2)cn1,PXRDSWCMKCLNIA-LJQANCHMSA-N,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc(-c4cn[nH]c4)cc3)cc2)C1,7.519993057042849,1,26834239,CHEMBL5725564,2017,,False,
CHEMBL3623462,CC1(C)N=C(c2ccc(-c3c[nH]c4ccccc34)cc2)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,LRPAHVDIDTWWBL-GOSISDBHSA-N,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3c[nH]c4ccccc34)cc2)C1,6.640164517660112,1,26834149,CHEMBL5725564,2017,,False,
CHEMBL4126610,Cn1ncc2cc(-c3ccc(C4=NC(C)(C)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,DECUYALVQMJPQR-GOSISDBHSA-N,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,6.85078088734462,1,26833960,CHEMBL5725564,2017,,False,
CHEMBL4127768,Cn1ncc2cc(-c3ccc(C4=NC(C)(c5ccccc5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,WJTQIMFAFSZXSH-LWMFVPLKSA-N,O=C(C1CC1)N1CCC(CN2C(=O)C(c3ccccc3)N=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,6.790484985457369,1,26833972,CHEMBL5725564,2017,,False,
CHEMBL4127995,COCC1(C)N=C(c2ccc(-c3ccc4c(cnn4C)c3)cc2)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,SUCVQCGWVPTXCT-COBFLCELSA-N,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,6.309803919971486,1,26833984,CHEMBL5725564,2017,,False,
CHEMBL5749645,CC1(C)N=C(c2ccc(-c3ccc4cccnc4c3)cc2)N(CC2CN(C(=O)C3CC3)C2)C1=O,UWCBFYSPULHOQI-UHFFFAOYSA-N,O=C(C1CC1)N1CC(CN2C(=O)CN=C2c2ccc(-c3ccc4cccnc4c3)cc2)C1,6.690369832574102,1,26834026,CHEMBL5725564,2017,,False,
CHEMBL5750822,Cc1cc(-c2ccc(-c3cnn(C)c3)cc2)ccc1C1=NC(C)(C)C(=O)N1CC1CN(C(=O)C2(C)CC2)C1,LMNYQWFQBUBMCZ-UHFFFAOYSA-N,O=C(C1CC1)N1CC(CN2C(=O)CN=C2c2ccc(-c3ccc(-c4cn[nH]c4)cc3)cc2)C1,7.11975822410452,1,26834215,CHEMBL5725564,2017,,False,
CHEMBL5758153,CC1(C)N=C(c2ccc(-c3cnc4ccccc4c3)cc2F)N(CC2CN(C(=O)C3CC3)C2)C1=O,YNDSYDYLACXFLD-UHFFFAOYSA-N,O=C(C1CC1)N1CC(CN2C(=O)CN=C2c2ccc(-c3cnc4ccccc4c3)cc2)C1,5.700057099977233,1,26834014,CHEMBL5725564,2017,,False,
CHEMBL5759977,Cn1cc(-c2ccc(-c3ccc(C4=NC(C)(C)C(=O)N4CC4CN(C(=O)C5CC5)C4)c(F)c3)cc2)cn1,PUUIYIMOUIQTFI-UHFFFAOYSA-N,O=C(C1CC1)N1CC(CN2C(=O)CN=C2c2ccc(-c3ccc(-c4cn[nH]c4)cc3)cc2)C1,6.739928612014925,1,26834053,CHEMBL5725564,2017,,False,
CHEMBL5760930,CC1(C)N=C(c2ccc(-c3ccc4cccc(F)c4c3)cc2F)N(CC2CCN(C(=O)C3CC3)C2)C1=O,KXFRBKDPABQFCB-UHFFFAOYSA-N,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4ccccc4c3)cc2)C1,7.369572124974976,1,26834155,CHEMBL5725564,2017,,False,
CHEMBL5767579,CC1(C)N=C(c2ccc(-c3cccc4ncccc34)cc2F)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,KOGHNKRWPQPMRM-GOSISDBHSA-N,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3cccc4ncccc34)cc2)C1,6.779891911959945,1,26834095,CHEMBL5725564,2017,,False,
CHEMBL5768401,CC1(C)N=C(c2ccc(-c3ccc4occc4c3)cc2)N(C[C@@H]2CCN(C(=O)C3(F)CC3)C2)C1=O,WMROZNLWGAMUTF-GOSISDBHSA-N,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4occc4c3)cc2)C1,6.920818753952375,1,26833966,CHEMBL5725564,2017,,False,
CHEMBL5769493,CC1(C)N=C(c2ccc(-c3cnc4ccccc4c3)cc2)N(C[C@@H]2CCN(C(=O)C3CC3)C2)C1=O,IMDAKSPUVPLXRX-LJQANCHMSA-N,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3cnc4ccccc4c3)cc2)C1,6.149966742310231,1,26834029,CHEMBL5725564,2017,,False,
